"","SRR1552444.fastq.gz.subread.BAM","SRR1552445.fastq.gz.subread.BAM","SRR1552454.fastq.gz.subread.BAM","SRR1552455.fastq.gz.subread.BAM"
"1",0,0,0,1
"2",0,1,0,0
"3",0,1,0,0
"4",3,0,3,1
"5",0,1,0,0
"6",0,1,0,0
"7",1,0,0,0
"8",1,0,0,0
"9",0,0,4,2
"10",0,1,0,0
"11",2,0,0,0
"12",1,0,0,0
"13",1,0,0,0
"14",1,0,0,0
"15",1,0,0,0
"16",0,0,1,0
"17",1,0,1,2
"18",0,0,1,0
"19",0,0,1,1
"20",0,1,0,0
"21",1,0,0,0
"22",1,0,0,0
"23",0,0,0,2
"24",1,0,0,0
"25",0,2,0,0
"26",0,2,0,1
"27",0,0,1,0
"28",0,0,0,1
"29",1,1,0,0
"30",0,0,0,1
"31",0,0,0,1
"32",2,2,0,0
"33",3,2,2,1
"34",0,0,2,0
"35",1,1,0,0
"36",0,0,0,1
"37",0,0,1,0
"38",0,0,0,1
"39",1,0,0,0
"40",1,0,0,0
"41",1,0,0,0
"42",0,0,1,0
"43",1,0,2,0
"44",3,2,1,1
"45",0,1,0,0
"46",0,1,0,0
"47",0,1,0,1
"48",0,0,1,0
"49",1,1,1,0
"50",0,0,0,1
"51",1,0,1,0
"52",0,0,1,0
"53",1,0,0,0
"54",0,0,0,1
"55",0,1,0,0
"56",0,0,1,0
"57",1,1,0,0
"58",0,1,0,1
"59",0,1,0,0
"60",1,0,0,0
"61",0,1,0,1
"62",1,0,0,0
"63",0,0,1,0
"64",0,0,0,1
"65",0,0,1,0
"66",0,0,1,0
"67",1,0,1,2
"68",1,0,0,0
"69",0,1,0,0
"70",0,0,1,0
"71",0,0,2,2
"72",0,0,1,0
"73",0,0,1,0
"74",0,1,0,0
"75",0,0,1,0
"76",1,0,0,0
"77",0,1,0,0
"78",0,1,1,0
"79",1,0,1,0
"80",0,1,0,0
"81",0,0,1,1
"82",0,1,0,0
"83",1,0,0,0
"84",0,0,4,0
"85",1,0,0,0
"86",1,0,0,1
"87",1,0,0,0
"88",0,0,0,1
"89",0,1,0,0
"90",0,1,0,0
"91",0,0,0,1
"92",0,0,0,2
"93",0,0,1,0
"94",0,1,0,0
"95",0,1,0,0
"96",0,1,0,0
"97",1,0,1,0
"98",1,0,1,0
"99",0,0,1,0
"100",0,1,0,0
"101",0,1,1,0
"102",0,0,1,0
"103",0,1,0,0
"104",0,0,0,1
"105",0,0,0,1
"106",1,0,0,0
"107",0,0,0,1
"108",0,0,0,1
"109",0,2,0,0
"110",0,0,1,1
"111",0,0,1,0
"112",0,0,0,1
"113",0,1,0,0
"114",0,0,1,0
"115",1,0,0,0
"116",0,0,2,0
"117",0,0,0,1
"118",2,0,0,1
"119",1,0,0,0
"120",0,0,1,0
"121",0,1,0,0
"122",0,0,0,1
